episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9
6,3,51,9,1,6,6.5,0,0.9,2,1,2,1,10,10,0,0,0,0,26,0,6,8.0,0,3.9,1,8,4,3,4,1,0,0,0,0,37,1,6,7.0,0,6.9,1,1,2,5,10,2,0,0,0,0,85,0,6,7.5,0,4.9,8,3,7,8,10,2,0,0,0,0,92,0,6,7.0,0,4.9,7,6,10,7,3,1,0,0,0,0
6,4,35,7,1,5,6.0,0,1.9,1,2,1,10,10,0,0,0,0,0,26,1,5,7.0,1,-0.2,8,4,3,4,1,0,0,0,0,0,36,1,5,6.5,0,0.9,1,2,5,10,2,0,0,0,0,0,85,0,5,6.5,1,-0.2,3,7,8,10,2,0,0,0,0,0,92,0,5,6.0,1,-0.2,6,10,7,3,1,0,0,0,0,0
6,5,17,6,1,4,5.5,0,0.9,2,1,10,10,0,0,0,0,0,0,26,1,4,6.0,1,7.8,4,3,4,1,0,0,0,0,0,0,36,1,4,5.5,1,0.8,2,5,10,2,0,0,0,0,0,0,85,0,4,5.5,1,-0.2,7,8,10,2,0,0,0,0,0,0,92,0,4,5.0,1,-0.2,10,7,3,1,0,0,0,0,0,0
6,6,0,4,1,3,5.0,0,1.9,1,10,10,0,0,0,0,0,0,0,26,1,3,5.0,1,3.8,3,4,1,0,0,0,0,0,0,0,34,0,3,5.0,0,1.9,5,10,2,0,0,0,0,0,0,0,85,0,3,4.5,1,-0.2,8,10,2,0,0,0,0,0,0,0,92,0,3,4.0,1,-0.2,7,3,1,0,0,0,0,0,0,0
6,7,0,4,1,2,4.0,1,0.0,10,10,0,0,0,0,0,0,0,0,26,1,2,4.0,1,0.0,4,1,0,0,0,0,0,0,0,0,29,0,2,4.5,0,4.9,10,2,0,0,0,0,0,0,0,0,77,0,2,4.0,0,7.9,10,2,0,0,0,0,0,0,0,0,85,0,2,3.5,0,6.9,3,1,0,0,0,0,0,0,0,0
6,8,0,4,0,1,3.0,1,0.0,10,0,0,0,0,0,0,0,0,0,22,1,1,3.5,0,3.9,1,0,0,0,0,0,0,0,0,0,29,0,1,3.5,1,-0.2,2,0,0,0,0,0,0,0,0,0,77,0,1,3.0,1,-0.2,2,0,0,0,0,0,0,0,0,0,85,1,1,2.5,1,-0.2,1,0,0,0,0,0,0,0,0,0
6,9,0,4,0,0,2.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,21,1,0,3.0,0,0.9,0,0,0,0,0,0,0,0,0,0,29,0,0,2.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,77,0,0,2.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,84,0,0,2.0,0,0.9,0,0,0,0,0,0,0,0,0,0
7,0,91,5,0,9,9.5,0,4.9,2,5,1,5,4,5,4,9,10,0,50,0,9,9.0,1,-0.2,2,3,2,2,8,2,4,9,9,0,50,1,9,9.0,1,0.8,5,9,1,1,5,7,1,1,5,0,99,1,9,9.5,0,0.9,10,5,9,1,4,8,7,3,10,0,93,0,9,9.5,0,6.9,4,3,5,8,6,7,8,7,3,0
7,1,89,5,0,8,8.5,1,-0.2,5,1,5,4,5,4,9,10,0,0,48,1,8,8.5,0,1.9,3,2,2,8,2,4,9,9,0,0,45,1,8,8.5,0,4.9,9,1,1,5,7,1,1,5,0,0,89,1,8,9.0,0,9.9,5,9,1,4,8,7,3,10,0,0,89,0,8,9.0,0,3.9,3,5,8,6,7,8,7,3,0,0
7,2,69,5,0,7,7.5,1,-0.2,1,5,4,5,4,9,10,0,0,0,48,1,7,7.5,1,2.8,2,2,8,2,4,9,9,0,0,0,45,1,7,7.5,1,8.8,1,1,5,7,1,1,5,0,0,0,84,1,7,8.5,0,4.9,9,1,4,8,7,3,10,0,0,0,89,0,7,8.0,1,-0.2,5,8,6,7,8,7,3,0,0,0
7,3,66,5,0,6,6.5,1,-0.2,5,4,5,4,9,10,0,0,0,0,48,0,6,6.5,1,1.8,2,8,2,4,9,9,0,0,0,0,44,1,6,7.0,0,0.9,1,5,7,1,1,5,0,0,0,0,75,1,6,8.0,0,8.9,1,4,8,7,3,10,0,0,0,0,84,1,6,7.5,0,4.9,8,6,7,8,7,3,0,0,0,0
7,4,64,0,0,5,6.0,0,4.9,4,5,4,9,10,0,0,0,0,0,48,0,5,5.5,1,-0.2,8,2,4,9,9,0,0,0,0,0,43,0,5,6.5,0,0.9,5,7,1,1,5,0,0,0,0,0,74,1,5,7.5,0,0.9,4,8,7,3,10,0,0,0,0,0,76,1,5,7.0,0,7.9,6,7,8,7,3,0,0,0,0,0
7,5,41,0,0,4,5.0,1,-0.2,5,4,9,10,0,0,0,0,0,0,48,0,4,4.5,1,-0.2,2,4,9,9,0,0,0,0,0,0,43,0,4,5.5,1,-0.2,7,1,1,5,0,0,0,0,0,0,70,1,4,7.0,0,3.9,8,7,3,10,0,0,0,0,0,0,76,0,4,6.0,1,5.8,7,8,7,3,0,0,0,0,0,0
7,6,27,0,1,3,4.0,1,-0.2,4,9,10,0,0,0,0,0,0,0,48,0,3,3.5,1,-0.2,4,9,9,0,0,0,0,0,0,0,43,0,3,4.5,1,-0.2,1,1,5,0,0,0,0,0,0,0,62,1,3,6.5,0,7.9,7,3,10,0,0,0,0,0,0,0,69,1,3,5.5,0,6.9,8,7,3,0,0,0,0,0,0,0
7,7,14,0,1,2,3.0,1,0.0,9,10,0,0,0,0,0,0,0,0,44,0,2,3.0,0,3.9,9,9,0,0,0,0,0,0,0,0,43,0,2,3.5,1,-0.2,1,5,0,0,0,0,0,0,0,0,55,1,2,6.0,0,6.9,3,10,0,0,0,0,0,0,0,0,69,1,2,4.5,1,7.8,7,3,0,0,0,0,0,0,0,0
7,8,5,0,1,1,2.0,1,0.0,10,0,0,0,0,0,0,0,0,0,35,0,1,2.5,0,8.9,9,0,0,0,0,0,0,0,0,0,42,1,1,3.0,0,0.9,5,0,0,0,0,0,0,0,0,0,52,0,1,5.5,0,2.9,10,0,0,0,0,0,0,0,0,0,62,0,1,4.0,0,6.9,3,0,0,0,0,0,0,0,0,0
7,9,0,0,1,0,1.0,1,0.0,0,0,0,0,0,0,0,0,0,0,26,0,0,2.0,0,8.9,0,0,0,0,0,0,0,0,0,0,42,1,0,2.0,1,0.0,0,0,0,0,0,0,0,0,0,0,42,0,0,5.0,0,9.9,0,0,0,0,0,0,0,0,0,0,59,0,0,3.5,0,2.9,0,0,0,0,0,0,0,0,0,0
8,0,78,10,1,9,9.0,1,6.8,5,3,2,5,8,8,2,3,1,0,50,1,9,9.0,1,1.8,8,2,10,8,5,9,10,1,4,0,49,1,9,9.5,0,0.9,3,2,9,1,8,2,8,9,6,0,100,0,9,9.0,1,-0.2,5,4,5,5,8,1,9,3,8,0,100,0,9,9.0,1,-0.2,8,4,2,8,6,3,3,8,10,0
8,1,67,5,1,8,8.5,0,4.9,3,2,5,8,8,2,3,1,0,0,42,1,8,8.5,0,7.9,2,10,8,5,9,10,1,4,0,0,49,1,8,8.5,1,2.8,2,9,1,8,2,8,9,6,0,0,95,0,8,8.5,0,4.9,4,5,5,8,1,9,3,8,0,0,100,0,8,8.0,1,-0.2,4,2,8,6,3,3,8,10,0,0
8,2,65,2,1,7,8.0,0,2.9,2,5,8,8,2,3,1,0,0,0,42,1,7,7.5,1,1.8,10,8,5,9,10,1,4,0,0,0,47,1,7,8.0,0,1.9,9,1,8,2,8,9,6,0,0,0,91,0,7,8.0,0,3.9,5,5,8,1,9,3,8,0,0,0,96,0,7,7.5,0,3.9,2,8,6,3,3,8,10,0,0,0
8,3,53,2,1,6,7.0,1,1.8,5,8,8,2,3,1,0,0,0,0,42,1,6,6.5,1,9.8,8,5,9,10,1,4,0,0,0,0,38,1,6,7.5,0,8.9,1,8,2,8,9,6,0,0,0,0,86,0,6,7.5,0,4.9,5,8,1,9,3,8,0,0,0,0,94,0,6,7.0,0,1.9,8,6,3,3,8,10,0,0,0,0
8,4,40,2,1,5,6.0,1,0.0,8,8,2,3,1,0,0,0,0,0,42,1,5,5.5,1,7.8,5,9,10,1,4,0,0,0,0,0,37,1,5,7.0,0,0.9,8,2,8,9,6,0,0,0,0,0,81,0,5,7.0,0,4.9,8,1,9,3,8,0,0,0,0,0,86,1,5,6.5,0,7.9,6,3,3,8,10,0,0,0,0,0
8,5,21,0,1,4,5.5,0,-0.2,8,2,3,1,0,0,0,0,0,0,42,1,4,4.5,1,4.8,9,10,1,4,0,0,0,0,0,0,37,1,4,6.0,1,7.8,2,8,9,6,0,0,0,0,0,0,73,0,4,6.5,0,7.9,1,9,3,8,0,0,0,0,0,0,86,1,4,5.5,1,5.8,3,3,8,10,0,0,0,0,0,0
8,6,9,0,1,3,4.5,1,0.0,2,3,1,0,0,0,0,0,0,0,33,1,3,4.0,0,8.9,10,1,4,0,0,0,0,0,0,0,35,1,3,5.5,0,1.9,8,9,6,0,0,0,0,0,0,0,73,0,3,5.5,1,-0.2,9,3,8,0,0,0,0,0,0,0,86,1,3,4.5,1,2.8,3,8,10,0,0,0,0,0,0,0
8,7,0,0,1,2,3.5,1,0.0,3,1,0,0,0,0,0,0,0,0,33,1,2,3.0,1,0.0,1,4,0,0,0,0,0,0,0,0,27,0,2,5.0,0,7.9,9,6,0,0,0,0,0,0,0,0,73,0,2,4.5,1,-0.2,3,8,0,0,0,0,0,0,0,0,83,1,2,4.0,0,2.9,8,10,0,0,0,0,0,0,0,0
8,8,0,0,1,1,2.5,1,0.0,1,0,0,0,0,0,0,0,0,0,33,1,1,2.0,1,0.0,4,0,0,0,0,0,0,0,0,0,27,0,1,4.0,1,-0.2,6,0,0,0,0,0,0,0,0,0,70,0,1,4.0,0,2.9,8,0,0,0,0,0,0,0,0,0,83,1,1,3.0,1,0.0,10,0,0,0,0,0,0,0,0,0
8,9,0,0,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,33,1,0,1.0,1,0.0,0,0,0,0,0,0,0,0,0,0,27,0,0,3.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,62,0,0,3.5,0,7.9,0,0,0,0,0,0,0,0,0,0,73,1,0,2.5,0,9.9,0,0,0,0,0,0,0,0,0,0
9,0,100,6,1,9,9.5,0,3.9,8,9,5,7,1,10,10,8,2,0,43,0,9,9.5,0,6.9,3,4,3,7,8,9,10,5,9,0,45,1,9,9.5,0,4.9,9,4,6,9,2,9,1,1,10,0,99,1,9,9.5,0,0.9,1,5,9,2,9,5,5,6,4,0,97,0,9,9.5,0,2.9,1,2,5,5,3,8,3,7,6,0
9,1,90,0,1,8,9.0,0,-0.2,9,5,7,1,10,10,8,2,0,0,40,0,8,9.0,0,2.9,4,3,7,8,9,10,5,9,0,0,45,1,8,8.5,1,8.8,4,6,9,2,9,1,1,10,0,0,98,1,8,9.0,0,0.9,5,9,2,9,5,5,6,4,0,0,97,0,8,8.5,1,-0.2,2,5,5,3,8,3,7,6,0,0
9,2,86,0,1,7,8.5,0,-0.2,5,7,1,10,10,8,2,0,0,0,40,0,7,8.0,1,-0.2,3,7,8,9,10,5,9,0,0,0,41,1,7,8.0,0,3.9,6,9,2,9,1,1,10,0,0,0,93,1,7,8.5,0,4.9,9,2,9,5,5,6,4,0,0,0,95,0,7,8.0,0,1.9,5,5,3,8,3,7,6,0,0,0
9,3,78,0,1,6,8.0,0,-0.2,7,1,10,10,8,2,0,0,0,0,40,0,6,7.0,1,-0.2,7,8,9,10,5,9,0,0,0,0,35,1,6,7.5,0,5.9,9,2,9,1,1,10,0,0,0,0,84,0,6,8.0,0,8.9,2,9,5,5,6,4,0,0,0,0,95,0,6,7.0,1,-0.2,5,3,8,3,7,6,0,0,0,0
9,4,48,0,1,5,7.0,1,0.0,1,10,10,8,2,0,0,0,0,0,40,0,5,6.0,1,-0.2,8,9,10,5,9,0,0,0,0,0,35,1,5,6.5,1,8.8,2,9,1,1,10,0,0,0,0,0,84,0,5,7.0,1,-0.2,9,5,5,6,4,0,0,0,0,0,95,0,5,6.0,1,-0.2,3,8,3,7,6,0,0,0,0,0
9,5,37,0,1,4,6.5,0,-0.2,10,10,8,2,0,0,0,0,0,0,40,0,4,5.0,1,-0.2,9,10,5,9,0,0,0,0,0,0,33,1,4,6.0,0,1.9,9,1,1,10,0,0,0,0,0,0,75,0,4,6.5,0,8.9,5,5,6,4,0,0,0,0,0,0,95,0,4,5.0,1,-0.2,8,3,7,6,0,0,0,0,0,0
9,6,13,0,1,3,5.5,1,0.0,10,8,2,0,0,0,0,0,0,0,40,1,3,4.0,1,-0.2,10,5,9,0,0,0,0,0,0,0,24,1,3,5.5,0,8.9,1,1,10,0,0,0,0,0,0,0,75,0,3,5.5,1,-0.2,5,6,4,0,0,0,0,0,0,0,87,0,3,4.5,0,7.9,3,7,6,0,0,0,0,0,0,0
9,7,0,0,1,2,5.0,0,-0.2,8,2,0,0,0,0,0,0,0,0,40,1,2,3.0,1,9.8,5,9,0,0,0,0,0,0,0,0,24,0,2,4.5,1,0.8,1,10,0,0,0,0,0,0,0,0,75,0,2,4.5,1,-0.2,6,4,0,0,0,0,0,0,0,0,87,0,2,3.5,1,-0.2,7,6,0,0,0,0,0,0,0,0
9,8,0,0,1,1,4.0,1,0.0,2,0,0,0,0,0,0,0,0,0,40,1,1,2.0,1,0.0,9,0,0,0,0,0,0,0,0,0,24,0,1,3.5,1,-0.2,10,0,0,0,0,0,0,0,0,0,69,1,1,4.0,0,5.9,4,0,0,0,0,0,0,0,0,0,87,1,1,2.5,1,-0.2,6,0,0,0,0,0,0,0,0,0
9,9,0,0,0,0,3.5,0,-0.2,0,0,0,0,0,0,0,0,0,0,31,1,0,1.5,0,8.9,0,0,0,0,0,0,0,0,0,0,14,0,0,3.0,0,9.9,0,0,0,0,0,0,0,0,0,0,65,0,0,3.5,0,3.9,0,0,0,0,0,0,0,0,0,0,81,1,0,2.0,0,5.9,0,0,0,0,0,0,0,0,0,0
10,0,86,5,0,9,9.5,0,4.9,4,6,10,1,5,5,1,8,9,0,42,0,9,9.5,0,7.9,8,6,3,9,2,1,2,3,2,0,50,0,9,9.0,1,-0.2,2,6,10,8,4,3,10,5,1,0,98,1,9,9.5,0,1.9,9,5,7,4,6,9,1,5,6,0,100,1,9,9.0,1,5.8,7,4,2,7,3,9,9,5,2,0
10,1,64,5,0,8,8.5,1,-0.2,6,10,1,5,5,1,8,9,0,0,34,0,8,9.0,0,7.9,6,3,9,2,1,2,3,2,0,0,50,0,8,8.0,1,-0.2,6,10,8,4,3,10,5,1,0,0,98,1,8,8.5,1,8.8,5,7,4,6,9,1,5,6,0,0,100,1,8,8.0,1,6.8,4,2,7,3,9,9,5,2,0,0
10,2,54,5,0,7,7.5,1,-0.2,10,1,5,5,1,8,9,0,0,0,28,0,7,8.5,0,5.9,3,9,2,1,2,3,2,0,0,0,44,0,7,7.5,0,5.9,10,8,4,3,10,5,1,0,0,0,93,0,7,8.0,0,4.9,7,4,6,9,1,5,6,0,0,0,100,1,7,7.0,1,3.8,2,7,3,9,9,5,2,0,0,0
10,3,34,5,1,6,6.5,1,-0.2,1,5,5,1,8,9,0,0,0,0,25,0,6,8.0,0,2.9,9,2,1,2,3,2,0,0,0,0,44,0,6,6.5,1,-0.2,8,4,3,10,5,1,0,0,0,0,86,0,6,7.5,0,6.9,4,6,9,1,5,6,0,0,0,0,98,1,6,6.5,0,1.9,7,3,9,9,5,2,0,0,0,0
10,4,25,4,1,5,6.0,0,0.9,5,5,1,8,9,0,0,0,0,0,25,1,5,7.0,1,-0.2,2,1,2,3,2,0,0,0,0,0,36,0,5,6.0,0,7.9,4,3,10,5,1,0,0,0,0,0,82,0,5,7.0,0,3.9,6,9,1,5,6,0,0,0,0,0,91,1,5,6.0,0,6.9,3,9,9,5,2,0,0,0,0,0
10,5,25,0,1,4,5.5,0,-0.2,5,1,8,9,0,0,0,0,0,0,23,1,4,6.5,0,1.9,1,2,3,2,0,0,0,0,0,0,32,0,4,5.5,0,3.9,3,10,5,1,0,0,0,0,0,0,76,0,4,6.5,0,5.9,9,1,5,6,0,0,0,0,0,0,88,1,4,5.5,0,2.9,9,9,5,2,0,0,0,0,0,0
10,6,10,0,1,3,4.5,1,0.0,1,8,9,0,0,0,0,0,0,0,23,1,3,5.5,1,0.8,2,3,2,0,0,0,0,0,0,0,29,0,3,5.0,0,2.9,10,5,1,0,0,0,0,0,0,0,67,0,3,6.0,0,8.9,1,5,6,0,0,0,0,0,0,0,88,1,3,4.5,1,8.8,9,5,2,0,0,0,0,0,0,0
10,7,0,0,1,2,3.5,1,0.0,8,9,0,0,0,0,0,0,0,0,21,1,2,5.0,0,1.9,3,2,0,0,0,0,0,0,0,0,19,0,2,4.5,0,9.9,5,1,0,0,0,0,0,0,0,0,67,0,2,5.0,1,-0.2,5,6,0,0,0,0,0,0,0,0,88,1,2,3.5,1,0.0,5,2,0,0,0,0,0,0,0,0
10,8,0,0,1,1,3.0,0,-0.2,9,0,0,0,0,0,0,0,0,0,21,1,1,4.0,1,0.0,2,0,0,0,0,0,0,0,0,0,19,0,1,3.5,1,-0.2,1,0,0,0,0,0,0,0,0,0,67,0,1,4.0,1,-0.2,6,0,0,0,0,0,0,0,0,0,88,1,1,2.5,1,0.0,2,0,0,0,0,0,0,0,0,0
10,9,0,0,1,0,2.0,1,0.0,0,0,0,0,0,0,0,0,0,0,21,1,0,3.0,1,0.0,0,0,0,0,0,0,0,0,0,0,19,0,0,2.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,67,0,0,3.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,88,0,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0
11,0,81,0,0,9,9.5,0,9.9,1,4,9,7,7,10,2,7,5,0,41,0,9,9.5,0,8.9,1,7,1,10,2,3,1,8,1,0,50,0,9,9.0,1,7.8,7,3,1,5,6,1,10,7,9,0,100,0,9,9.0,1,-0.2,4,6,6,10,5,5,7,8,9,0,100,1,9,9.0,1,-0.2,8,2,2,1,1,5,10,1,2,0
11,1,66,0,0,8,9.0,0,-0.2,4,9,7,7,10,2,7,5,0,0,40,0,8,9.0,0,0.9,7,1,10,2,3,1,8,1,0,0,50,0,8,8.0,1,-0.2,3,1,5,6,1,10,7,9,0,0,96,0,8,8.5,0,3.9,6,6,10,5,5,7,8,9,0,0,100,1,8,8.0,1,7.8,2,2,1,1,5,10,1,2,0,0
11,2,57,0,0,7,8.0,1,-0.2,9,7,7,10,2,7,5,0,0,0,33,0,7,8.5,0,6.9,1,10,2,3,1,8,1,0,0,0,50,0,7,7.0,1,-0.2,1,5,6,1,10,7,9,0,0,0,90,0,7,8.0,0,5.9,6,10,5,5,7,8,9,0,0,0,100,0,7,7.0,1,1.8,2,1,1,5,10,1,2,0,0,0
11,3,47,0,0,6,7.0,1,-0.2,7,7,10,2,7,5,0,0,0,0,32,1,6,8.0,0,0.9,10,2,3,1,8,1,0,0,0,0,50,0,6,6.0,1,-0.2,5,6,1,10,7,9,0,0,0,0,84,0,6,7.5,0,5.9,10,5,5,7,8,9,0,0,0,0,98,0,6,6.5,0,1.9,1,1,5,10,1,2,0,0,0,0
11,4,30,0,0,5,6.0,1,-0.2,7,10,2,7,5,0,0,0,0,0,32,0,5,7.0,1,9.8,2,3,1,8,1,0,0,0,0,0,45,0,5,5.5,0,4.9,6,1,10,7,9,0,0,0,0,0,74,0,5,7.0,0,9.9,5,5,7,8,9,0,0,0,0,0,97,0,5,6.0,0,0.9,1,5,10,1,2,0,0,0,0,0
11,5,12,0,0,4,5.0,1,-0.2,10,2,7,5,0,0,0,0,0,0,30,0,4,6.5,0,1.9,3,1,8,1,0,0,0,0,0,0,45,0,4,4.5,1,-0.2,1,10,7,9,0,0,0,0,0,0,74,0,4,6.0,1,-0.2,5,7,8,9,0,0,0,0,0,0,96,0,4,5.5,0,0.9,5,10,1,2,0,0,0,0,0,0
11,6,0,0,0,3,4.0,1,-0.2,2,7,5,0,0,0,0,0,0,0,30,0,3,5.5,1,-0.2,1,8,1,0,0,0,0,0,0,0,44,1,3,4.0,0,0.9,10,7,9,0,0,0,0,0,0,0,69,0,3,5.5,0,4.9,7,8,9,0,0,0,0,0,0,0,91,0,3,5.0,0,4.9,10,1,2,0,0,0,0,0,0,0
11,7,0,0,0,2,3.0,1,-0.2,7,5,0,0,0,0,0,0,0,0,30,0,2,4.5,1,-0.2,8,1,0,0,0,0,0,0,0,0,34,1,2,3.5,0,9.9,7,9,0,0,0,0,0,0,0,0,69,1,2,4.5,1,-0.2,8,9,0,0,0,0,0,0,0,0,91,0,2,4.0,1,-0.2,1,2,0,0,0,0,0,0,0,0
11,8,0,0,0,1,2.5,0,-0.2,5,0,0,0,0,0,0,0,0,0,22,0,1,4.0,0,7.9,1,0,0,0,0,0,0,0,0,0,27,1,1,3.0,0,6.9,9,0,0,0,0,0,0,0,0,0,69,1,1,3.5,1,0.0,9,0,0,0,0,0,0,0,0,0,90,1,1,3.5,0,0.9,2,0,0,0,0,0,0,0,0,0
11,9,0,0,0,0,2.0,0,-0.2,0,0,0,0,0,0,0,0,0,0,21,0,0,3.5,0,0.9,0,0,0,0,0,0,0,0,0,0,18,1,0,2.5,0,8.9,0,0,0,0,0,0,0,0,0,0,60,0,0,3.0,0,8.9,0,0,0,0,0,0,0,0,0,0,90,1,0,2.5,1,0.0,0,0,0,0,0,0,0,0,0,0
12,0,88,2,0,9,9.5,0,7.9,2,4,1,8,8,4,7,6,10,0,50,1,9,9.0,1,6.8,6,3,2,5,10,9,3,7,2,0,50,1,9,9.0,1,4.8,7,10,5,9,10,7,3,2,5,0,90,1,9,9.5,0,9.9,10,4,8,2,5,7,3,9,3,0,92,1,9,9.5,0,7.9,7,7,6,2,4,1,1,2,5,0
12,1,79,2,0,8,8.5,1,-0.2,4,1,8,8,4,7,6,10,0,0,44,1,8,8.5,0,5.9,3,2,5,10,9,3,7,2,0,0,43,1,8,8.5,0,6.9,10,5,9,10,7,3,2,5,0,0,80,1,8,9.0,0,9.9,4,8,2,5,7,3,9,3,0,0,92,0,8,8.5,1,6.8,7,6,2,4,1,1,2,5,0,0
12,2,69,0,0,7,8.0,0,-0.2,1,8,8,4,7,6,10,0,0,0,41,1,7,8.0,0,2.9,2,5,10,9,3,7,2,0,0,0,43,1,7,7.5,1,9.8,5,9,10,7,3,2,5,0,0,0,76,1,7,8.5,0,3.9,8,2,5,7,3,9,3,0,0,0,85,0,7,8.0,0,6.9,6,2,4,1,1,2,5,0,0,0
12,3,67,0,0,6,7.5,0,-0.2,8,8,4,7,6,10,0,0,0,0,41,1,6,7.0,1,1.8,5,10,9,3,7,2,0,0,0,0,38,1,6,7.0,0,4.9,9,10,7,3,2,5,0,0,0,0,68,1,6,8.0,0,7.9,2,5,7,3,9,3,0,0,0,0,79,0,6,7.5,0,5.9,2,4,1,1,2,5,0,0,0,0
12,4,60,0,0,5,7.0,0,-0.2,8,4,7,6,10,0,0,0,0,0,41,1,5,6.0,1,4.8,10,9,3,7,2,0,0,0,0,0,29,1,5,6.5,0,8.9,10,7,3,2,5,0,0,0,0,0,68,1,5,7.0,1,1.8,5,7,3,9,3,0,0,0,0,0,77,1,5,7.0,0,1.9,4,1,1,2,5,0,0,0,0,0
12,5,42,0,0,4,6.0,1,-0.2,4,7,6,10,0,0,0,0,0,0,41,1,4,5.0,1,9.8,9,3,7,2,0,0,0,0,0,0,19,1,4,6.0,0,9.9,7,3,2,5,0,0,0,0,0,0,63,1,4,6.5,0,4.9,7,3,9,3,0,0,0,0,0,0,73,1,4,6.5,0,3.9,1,1,2,5,0,0,0,0,0,0
12,6,37,0,0,3,5.0,1,-0.2,7,6,10,0,0,0,0,0,0,0,32,1,3,4.5,0,8.9,3,7,2,0,0,0,0,0,0,0,12,1,3,5.5,0,6.9,3,2,5,0,0,0,0,0,0,0,56,1,3,6.0,0,6.9,3,9,3,0,0,0,0,0,0,0,73,1,3,5.5,1,0.8,1,2,5,0,0,0,0,0,0,0
12,7,34,0,0,2,4.5,0,-0.2,6,10,0,0,0,0,0,0,0,0,29,1,2,4.0,0,2.9,7,2,0,0,0,0,0,0,0,0,9,1,2,5.0,0,2.9,2,5,0,0,0,0,0,0,0,0,56,1,2,5.0,1,2.8,9,3,0,0,0,0,0,0,0,0,72,1,2,5.0,0,0.9,2,5,0,0,0,0,0,0,0,0
12,8,25,0,0,1,4.0,0,-0.2,10,0,0,0,0,0,0,0,0,0,29,1,1,3.0,1,6.8,2,0,0,0,0,0,0,0,0,0,7,1,1,4.5,0,1.9,5,0,0,0,0,0,0,0,0,0,47,1,1,4.5,0,8.9,3,0,0,0,0,0,0,0,0,0,72,1,1,4.0,1,1.8,5,0,0,0,0,0,0,0,0,0
12,9,8,0,0,0,3.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,29,1,0,2.0,1,1.8,0,0,0,0,0,0,0,0,0,0,2,1,0,4.0,0,4.9,0,0,0,0,0,0,0,0,0,0,44,1,0,4.0,0,2.9,0,0,0,0,0,0,0,0,0,0,72,0,0,3.0,1,4.8,0,0,0,0,0,0,0,0,0,0
13,0,92,5,1,9,9.5,0,4.9,1,7,7,10,6,8,9,10,10,0,42,1,9,9.5,0,7.9,9,8,3,8,2,8,3,4,2,0,41,1,9,9.5,0,8.9,10,4,10,9,3,4,1,4,2,0,95,1,9,9.5,0,4.9,10,5,3,10,6,3,6,10,7,0,100,1,9,9.0,1,7.8,7,8,1,7,1,7,7,2,1,0
13,1,75,4,1,8,9.0,0,0.9,7,7,10,6,8,9,10,10,0,0,33,1,8,9.0,0,8.9,8,3,8,2,8,3,4,2,0,0,31,1,8,9.0,0,9.9,4,10,9,3,4,1,4,2,0,0,95,1,8,8.5,1,9.8,5,3,10,6,3,6,10,7,0,0,100,1,8,8.0,1,6.8,8,1,7,1,7,7,2,1,0,0
